Id,label,Domian,Kingdom,Phylum,Class,Order,Family,Genus,Species,degree,cc,bc
OTU371,OTU371,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Suilimivivens,s__Suilimivivens_aceti,5,0.130434783,0.913326825
OTU372,OTU372,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acutalibacter,s__Acutalibacter_muris,3,0.342857143,0.007206514
OTU373,OTU373,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Acutalibacter,s__Acutalibacter_sp._1XD8-36,3,1,0.000348141
OTU374,OTU374,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Ruminococcus,s__Ruminococcus_flavefaciens,16,0.1625,0.006149698
OTU375,OTU375,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Hominisplanchenecus,s__Hominisplanchenecus_faecis,24,0.136046512,0.318736337
OTU376,OTU376,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Peptococcaceae,g__Dehalobacterium,s__Dehalobacterium_formicoaceticum,1,0.666666667,0
OTU377,OTU377,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_scindens,0,NA,0
OTU378,OTU378,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Anaerofustis,s__Anaerofustis_stercorihominis,13,0.133181559,0.034708055
OTU379,OTU379,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Solibaculum,s__Solibaculum_mannosilyticum,2,0.75,0
OTU38,OTU38,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Marvinbryantia,s__Marvinbryantia_formatexigens,6,0.155275382,0.007719953
OTU380,OTU380,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Jeotgalicoccus,s__Jeotgalicoccus_nanhaiensis,3,0.115327748,0.120630777
OTU381,OTU381,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Angelakisella,s__Angelakisella_massiliensis,14,0.173977695,0.133547402
OTU382,OTU382,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__unclassified_f__Lachnospiraceae,s__unclassified_f__Lachnospiraceae,6,0.138790036,0.003998317
OTU383,OTU383,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__unclassified_g__Clostridium,20,0.176204819,0.329540481
OTU384,OTU384,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Rhabdanaerobium,s__Rhabdanaerobium_thermarum,21,0.133790738,0.051934533
OTU385,OTU385,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__norank_o__Eubacteriales,g__norank_o__Eubacteriales,s__Clostridiales_bacterium_CIEAF_022,11,0.175675676,0.155628256
OTU386,OTU386,d__Bacteria,k__norank_d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,f__norank_o__Eubacteriales,g__Intestinimonas,s__Intestinimonas_timonensis,19,0.162839248,0.034823067
