OTU_ID,D2,D3,D4,D5,D6,G1,G2,G3,G4,G5
OTU196,126,12,9,18,21,76,26,46,2,26
OTU197,0,38,7,215,8,25,10,13,0,30
OTU198,0,1,2,13,4,1,0,0,0,0
OTU199,4,16,48,454,61,649,1013,199,10,16
OTU200,15,38,13,83,111,15,273,41,47,22
OTU201,29,28,60,28,6,7,32,22,20,8
OTU202,242,92,44,98,104,18,19,37,69,96
OTU203,72,14,13,22,22,21,13,14,27,45
OTU204,2,1,7,6,8,1,4,12,0,0
OTU205,0,2,3,13,2,0,0,1,1,2
OTU206,1,2,0,29,1,1,1,1,1,0
OTU207,104,131,152,32,99,39,100,189,185,190
OTU208,0,1,2,87,34,0,1,0,0,1
OTU209,186,47,58,76,98,28,56,53,60,50
OTU210,0,0,0,3,3,3,0,5,0,0
OTU211,0,3,8,5,0,0,0,1,0,1
OTU212,2,151,163,197,432,365,159,420,14,9
OTU213,24,23,42,32,9,16,46,87,15,11
OTU214,7,21,35,11,4,0,5,3,3,1
OTU215,60,30,20,116,52,12,6,22,117,69
OTU216,269,40,32,76,37,65,27,38,51,73
OTU217,0,1,0,5,2,1,1,6,0,0
OTU218,0,6,1,16,40,6,4,10,4,0
OTU219,2,30,25,251,37,13,7,25,30,5
OTU220,333,1,0,12,12,6,4,34,2,1
OTU221,71,20,16,39,17,20,40,79,25,78
OTU222,2122,818,926,567,1269,1409,325,2142,1113,627
OTU223,26,5,20,28,17,8,19,14,25,11
OTU224,216,7,5,31,16,6,12,14,46,31
OTU225,4,7,9,5,5,3,7,11,2,7
OTU226,30,9,11,38,19,21,38,24,81,45
OTU227,1,4,3,13,19,4,20,8,1,1
OTU228,53,26,31,59,28,33,48,92,20,36
OTU229,10,8,3,30,6,1,17,29,2,0
OTU230,0,0,1,5,0,0,0,1,0,0
OTU231,0,0,0,13,20,2,0,2,6,2
OTU232,1,12,11,231,172,53,240,280,61,44
OTU233,25,68,67,148,125,17,36,52,7,19
OTU234,0,1,0,19,13,1,0,0,0,0
OTU235,25,5,9,3,3,2,4,5,10,20
OTU236,16,14,16,11,7,1,12,12,8,19
OTU237,33,9,8,21,15,10,33,42,35,20
OTU238,12,20,25,14,9,28,4,7,65,66
OTU239,9,12,10,15,9,6,28,7,20,22
OTU240,0,0,0,4,1,0,1,0,0,0
OTU241,11,24,423,150,254,761,259,842,436,345
OTU242,34,108,90,36,2,12,4,4,1,2
OTU243,2,4,0,1,3,0,1,0,0,0
